007e89,car_light_blue_00,淡蓝色小汽车_00
083df8,folder_black_08,黑色标签文件夹_08
111366,snowman_11,雪人_11
123daf,bird_house_magenta_12,品红色鸟舍_12
1256f7,gamecube_12,GameCube_12
126e34,christmas_ball_ornament_cyan_12,青色圣诞装饰彩球_12
131f8b,dead_miner_13,矿工遗骸_13
13f180,bubble_coral_13,气泡珊瑚_13
146449,meta_knight_14,魅塔骑士_14
15833b,bookshelf_15,书架_15
15c292,monitor_15,显示器_15
164c2e,bouquet_16,花束_16
17d7b3,disco_ball_17,迪斯科灯球_17
185e68,hermit_crab_18,寄居蟹_18
186156,christmas_snowglobe_18,圣诞雪景球_18
1a8942,beetroot_sliced_1a,切开的甜菜根_1a
1ae385,skull_1a,头骨_1a
1b2f6f,flowerpot_1b,花盆_1b
1b434a,fact_core_1b,真理核心_1b
1c1517,pineapple_1c,菠萝_1c
1c24c9,candle_gray_1c,灰色蜡烛_1c
1c82d5,shark_eye_1c,鲨鱼眼_1c
1d0727,glow_jellyfish_1d,发光水母_1d
1d8e11,shellfish_1d,甲壳水生动物_1d
1debc7,ambulance_1d,救护车_1d
1dfd77,snowball_1d,雪球_1d
1e2596,basket_1e,篮子_1e
204086,pile_of_pants_20,一叠裤子_20
211ab3,christmas_ball_ornament_gold_21,金色圣诞装饰彩球_21
21c63d,books_21,书本_21
21ea82,empty_bucket_21,空桶_21
229603,medieval_beer_22,中世纪啤酒_22
234cd6,bugs_bunny_23,兔八哥_23
24fcc9,can_orange_24,橙色罐头_24
26336f,ham_26,火腿_26
27f4af,rotten_cow_27,腐败的牛头_27
28384c,folder_blue_28,蓝色标签文件夹_28
28ca36,candle_red_28,红色蜡烛_28
28eda3,bread_mixed_with_chocolate_28,混有巧克力的面包_28
2c42b9,trick_or_treat_basket_green_creeper_2c,绿色苦力怕糖果篮_2c
2e99f6,speakers_2e,扬声器_2e
2ea73a,baseball_2e,棒球_2e
2eb231,alien_2e,外星人_2e
2f159a,surveillance_camera_2f,监控摄像头_2f
2f24ed,skull_2f,头骨_2f
2f3873,berry_fish_white_2f,白色浆果鱼_2f
2fde75,mr_pig_2f,猪先生_2f
31385a,basket_31,篮子_31
31409f,candle_brown_31,棕色蜡烛_31
326520,sheep_black_32,黑色绵羊_32
32a45c,snowman_32,雪人_32
344955,tyrannosaurus_rex_skull_34,霸王龙头骨_34
3491b6,horn_coral_34,鹿角珊瑚_34
34febb,cheese_on_a_plate_34,盘装奶酪_34
3620ef,man_36,男人_36
36867d,clock_36,时钟_36
36c01b,cheese_36,奶酪_36
372466,jar_of_gumballs_37,一罐口香糖球_37
396123,rubiks_cube_39,魔方_39
39fc3c,tube_coral_39,管珊瑚_39
3abd17,flowerpot_brown_3a,棕色花盆_3a
3af597,tnt_3a,TNT_3a
3d3cd8,polar_bear_3d,北极熊_3d
3d7f54,billiard_ball_7_3d,7号台球_3d
3db518,microwave_3d,微波炉_3d
3dd739,car_purple_3d,紫色小汽车_c5
3e818c,carved_pumpkin_3e,雕刻南瓜_3e
4053e2,glass_of_beer_40,一杯啤酒_40
41139b,orb_yellow_41,黄色球_41
422768,cauldron_42,炼药锅_42
4455ad,easter_egg_44,复活节彩蛋_44
44aa9a,potion_purple_44,紫色药水_44
466f0d,roman_soldier_helmet_46,罗马士兵头盔_46
477dd8,lettuce_47,生菜_47
47c1fa,question_block_47,问号方块_47
4872dd,clock_gray_48,灰色时钟_48
49b47a,folder_red_49,红色标签文件夹_49
4ad68b,coelacanth_4a,腔棘鱼_4a
4c6314,knight_helmet_4c,骑士头盔_4c
4cc3f7,candy_cane_4c,拐杖糖_4c
4fa1ef,fancy_cube_4f,花俏的方块_4f
4fcee1,vase_green_4f,绿色花瓶_4f
5059d5,emoticon_big_grin_50,咧嘴笑表情图示_50
507726,stack_of_suits_50,一叠戏服_50
50c929,blue_elephant_50,蓝色大象_50
51997d,bread_51,面包_51
51daa9,potion_lime_51,黄绿色药水_51
53b47b,candle_purple_53,紫色蜡烛_53
53da39,monitor_53,显示器_53
54a9d4,billiard_ball_14_54,14号台球_54
55507d,pile_of_shirts_55,一叠衬衫_55
56128e,zombie_head_in_a_bottle_56,瓶子里的僵尸头颅_56
56330a,folder_56,文件夹_56
58b57d,aquarium_58,水族箱_58
58c206,kryptonite_58,氪石_58
595231,potion_dark_red_59,暗红色药水_59
5a5ab0,beach_ball_5a,沙滩球_5a
5a6314,mossy_skull_5a,生苔头骨_5a
5cce73,lettercube_blue_5c,蓝色字母积木_5c
5d7b92,tropical_fish_yellowtail_parrot_5d,热带鱼（黄尾鹦鹉鱼）_5d
5e4861,christmas_ball_ornament_green_5e,绿色圣诞装饰彩球_5e
5e577b,pile_of_shirts_5e,一叠衬衫_5e
5f466b,pile_of_shirts_5f,一叠衬衫_5f
5fce81,candle_purple_5f,紫色蜡烛_5f
6100a0,car_pink_61,粉色小汽车_61
6193b2,net_61,网兜_61
641148,plate_of_cookies_64,盘装曲奇_64
649033,billiard_ball_3_64,3号台球_64
